RegNo,HerdCode,DrayDate
3.64099E+14,,1400/06/03
3.64099E+14,,1401/08/26
3.64099E+14,,1402/09/05
3.64099E+14,,1399/01/11
3.64099E+14,,1400/05/04
3.64099E+14,,1399/12/17
3.64099E+14,,1401/04/23
3.64099E+14,,1402/08/19
3.64099E+14,,1399/01/03
3.64099E+14,,1400/06/03
3.64099E+14,,1401/04/23
3.64099E+14,,1398/12/14
3.64099E+14,,1400/02/03
3.64099E+14,,1402/02/30
3.64099E+14,,1403/03/12
3.64099E+14,,1398/12/03
3.64099E+14,,1399/12/06
3.64099E+14,,1400/12/14
3.64099E+14,,1399/01/21
3.64099E+14,,1400/03/06
3.64099E+14,,1401/05/18
3.64099E+14,,1399/02/05
3.64099E+14,,1400/02/03
3.64099E+14,,1401/01/08
3.64099E+14,,1402/02/13
3.64099E+14,,1403/04/19
